conv_id,target_summary,generated_summary
hit:399_conv:798,A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight,I almost got into a crash because someone almost hit me.
hit:408_conv:816,I remember the day I became a father. Hearing my daughter's first cry melted my heart. I will never forget it.,I will never forget the day I became a father. It was such an amazing experience.
hit:420_conv:841,I was at the gas station filling my car up with gas and this guy pissed me off. He kept looking at my butt and making comments.,I had an awful time getting gas at 7/11 because of someone there. This guy
hit:440_conv:880,I remember when I got into a really big fight with my roommate and she kicked me out and I had to move back into my parent's house.,WIsh that did happen to you_comma_ better luck next time.
hit:453_conv:907,I am very apprehensive these days.,I am very apprehensive nowadays.
hit:458_conv:916,I had to put together a toy and thought I could do it without directions.,I got a toy for my niece's birthday and figured I could put it together without any
hit:471_conv:943,I spent a long time making cookies and my family ate most of them without asking.,I made some cookies from scratch and left to run an errand. When I came back
hit:478_conv:957,Ive seen my cat vomit on the stairs_comma_ it was really wet and made me nearly sick.,Everytime I see my cat vomit on the floor it makes me sick.
hit:484_conv:968,I am so mad! All my boyfriend does is play video games 24/7.,I am so mad!  All my boyfriend does is play video games 24/7!
hit:486_conv:972,I feel surprise when new gifts are offer me anyone,I am happy when i get unexpected presents
hit:487_conv:975,I am so nervous about my upcoming surgery. I have never had to have a surgery before. I just hope everything goes right!,I am worried about my surgery next week. I have never had to have surgery before.
hit:495_conv:990,Going to California for the first time.,I recently got to visit California for the first time. It's a pretty incredible place.
hit:509_conv:1019,I am really nervous.  I have to take an important exam next week.,I am so nervous.  I have to take a really important exam next week.
hit:518_conv:1037,I think everyday how fortunate I am to have a house_comma_ car_comma_ food_comma_ water and air to breathe. There are so many people in the world who don't even have clean water to drink.,I think everyday how fortunate I am to have a house_comma_ car_com
hit:541_conv:1083,I couldn't believe how pretty my ex's new girl is. How did he ever get such a hot girlfriend? He is nothing special to look at.,I wonder how my ex got such a pretty girlfriend. He doesn't look that great.
hit:543_conv:1087,I have a friend that I trust a lot.,I have a friend that I know since I am kid. He is always there for me
hit:555_conv:1110,I didn't expect my wife to buy me a new car for my birthday.,I didn't expect my wife to buy me a new car for my birthday.
hit:556_conv:1113,Last week someone broke in my house and robbed us.  Now I am scared to even live here!,Last week someone broke in my house and robbed us.  Now I am scared to even
hit:580_conv:1161,when my girlfriend cheated,i hate when people are unfaithful to there relationship
hit:592_conv:1185,When my friend got a scholarship that I didnt I felt jealous but i felt bad that I was jealous and not as happy for him,My friend got a scholarship last year that he was barely able to get.
hit:600_conv:1201,when i worked for two months and expected nothing,i worked for two months and expected nothing_comma_ but i wasn't disturbed
hit:609_conv:1219,One of my friends had a really low ACT score to begin with_comma_ as it was around a 22. I thought he couldn't get it much higher_comma_ but he managed to try really hard and get it up to a 28_comma_ which really surprised me.,I really didn't have much faith in my friend when he started out with a 22.
hit:611_conv:1223,I went to a 4th of july music festival and a mother had her 6 year old daughter dressed in a leotard and paraded her around_comma_ it was horrible.,I went to a 4th of july music festival and a mother had her 6 year
hit:620_conv:1241,Looking back on my childhood and how happy it was,Looking back on my childhood it seems to have been very happy.
hit:626_conv:1252,when someone tell me a lie and i found it_comma_i was at the peak of furious ,when i found out my friend was telling lie to me
hit:627_conv:1255,I was expecting a baby any day. I deep cleaned my house_comma_ stocked up the fridge and set up all of the baby's stuff plus a little bag for the hospital. I was all ready for my baby to show up. ,I was expecting a baby last month. I had everything prepped and ready to go_
hit:647_conv:1295,I was so shocked to see how much it snowed in my city back in 2011. It was so crazy.,Back in 2011 I was shocked to see how much it snowed_comma_ it
hit:657_conv:1315,My neighbor's house is haunted_comma_ I have seen ghosts in there.,I refuse to go back into my neighbor's home. The last time I was there I
hit:672_conv:1345,When I was a little kid I used to put my faith in everybody.  I learned later on_comma_ as I matured that you can't rely on other people too much because only you know what is best for you in life while everyone else will try to use you if they see you doing too well in life,I think Tony Montana was the epitome of hustling for the American Dream_comma
hit:674_conv:1348,Some movies can be terrifying,Watching movies about vampires terrifies me
hit:681_conv:1362,I tried to make small talk with a woman and she ignored me.,I tried to make small talk at my new job's onboarding and the lady ignored me
hit:683_conv:1367,I stay up a lot and look at my kids baby photos. They were such fun babies.,I always look at my kids baby photos. They are so sweet.
hit:691_conv:1383,I love Masterchef_comma_ but Masterchef Jr is my favorite. Those kids are really good.,I really like Masterchef Junior. He is one of the best.
hit:697_conv:1394,Iy gets on my nerves to work with people who don't pull their weight_comma_,I'd rather work alone that in a group or with a partner.
hit:697_conv:1395,I can't hardly wait for the outcome of Strzok testimony yesterday. It would be interesting to watch for time to come. Criminal investigation coming to conclusion and what to do about Strzok and his evilness. ,I can't hardly wait for the outcome of Congressional inquiry into the Strzok testimony yesterday
hit:710_conv:1420,I was sad when the truck I wasnted had been sold,I was so sad when the truck I wanted was sold
hit:711_conv:1422,I felt trusting when I went to the doctors,I felt trusting when I wnet to the docts
hit:715_conv:1430,I have been studying very hard for my MongoDB exams I'm ready to go take the exams,Wish me luck!
hit:718_conv:1436,I can remember my first day of high school. I was nervous and not sure if it was going to be okay.,I was very unsure about my first day of high school. I was just not sure how
hit:720_conv:1440,I feel quite content with my life. I've seen everything and done everything. I just want to sit back and enjoy life in the countryside far away from cities.  ,I feel quite satisfied with my life. I've seen everything and done everything what there is
hit:737_conv:1474,I was very happy  lastnight,I was very happy when I found out my result was out
hit:754_conv:1508,Hi_comma_ I went on vacation to Mexico. There is very frequently electricty outage. It is bothering me a lot.,I went on vacation to Mexico. There is very frequently electricty outage. It is
hit:754_conv:1509,My daughter wants to join the lacrosse team this year. She has never liked sports.,I can't believe my daughter is going to try out for lacrosse this year. She
hit:756_conv:1512, i went out with a couple friends to a local bar and we were having a great time. then my friend said he was going to step out and do some drugs and i knew my friend for years and i told him no just stay and party with us but he declined and i started yelling at him and he punched me. i felt like he chose the drugs over our friendship,I went out partying with some friends and while we were drinking my friend went out to do
hit:760_conv:1521,I'm mad I didn't hit my max bench of 350lbs at the gym. Need to start eating healthier,I'm mad I only hit 335 on the bench today and not my regular 350...I
hit:766_conv:1533,My brother was coming back from a trip. I was expecting from him to bring to me a gift.,My brother was coming back from a trip. I was expecting from him to bring to me
hit:770_conv:1540,I accidentally left my dog outside in the heat too long about a week ago and he almost got heat stroke_comma_ I felt really bad.,I accidentally left my dog outside in the heat too long a week ago_comma_
hit:771_conv:1543,My family was never rich when I was growing up.  But I've got very fond memories of my extended family in that small house because their company was worth more than diamonds,Even though I grew up in a small house in a third world country the company of my
hit:779_conv:1559,I had a bad dream last night.,I had a dream that my daughter got lost at school.
hit:780_conv:1561,My best friend moved a few states away_comma_ I've never felt so alone.,My best friend from childhood moved for her job.
hit:784_conv:1569,I've been watching the new stephen king show. I don;t even like scary things,I don't watch scary shows_comma_ but I have been watching the new step
hit:811_conv:1622,The first time someone gave me flowers made me feel so special.,The first time someone gave me flowers made me feel so special.
hit:817_conv:1634,I was driving and it began to rain so hard that I could see nothing in front of me.,I was driving and it began to rain so hard that I could see nothing in front of
hit:831_conv:1662,Yesterday I saw that bugs had eaten my dandelions in the garden. I had spent so much time watering and taking care of them. I was devastated.,I noticed that bugs had eaten the dandelions in my garden yesterday. I was so
hit:876_conv:1753,I am so upset.  I found out today that I did not get the job.,I am so upset.  I just found out I didn't get the job I wanted
hit:877_conv:1755,I got a new job!,I got a new job!
hit:879_conv:1758,I feel horrible.  I cheated on my husband last night.,I feel horrible. I cheated on my husband last night.
hit:882_conv:1764,I just celebrted my first birthday without my grandmother.,This was the first birthday this year I had without my grandma.
hit:883_conv:1767,I was trying to merge onto the freeway with my girlfriend and a semi was going way too fast and veered me towards the concrete border of the highway and I ran over a rock. The rock itself was pretty big and it hit my oil pan_comma_ the oil pan broke and started spilling oil everywhere. If I had not been calm I would have died,thank you so much_comma_ nothing happened to us thankfully my oil pan was broken
hit:884_conv:1769,I got pulled over for speeding and got a warning,I got pulled over for speeding today and the cop let me off with a warning.
hit:898_conv:1796,My son will have his 18 months shots soon,my son will have his 18 months shots soon. i'm a little nervous about it
hit:917_conv:1834,I feel ready for my trip_comma_ tomorrow. Everything is ready.,I feel ready for my trip tomorrow. Everything is ready.
hit:920_conv:1840,Sometimes I just sit home and look at my kids baby pictures,I love looking at my kids baby pictures. They were so sweet when they were babies.
hit:930_conv:1860,I failed my final exam. Now I'll lose my scholarship.,I failed my final exam. Now I'll lose my scholarship.
hit:931_conv:1862,I ordered a hamburger from a restaurant and it was raw in the middle.,I ordered a hamburger from a restaurant and it was raw in the middle.
hit:953_conv:1907,One Christmas when I was thirteen years old_comma_ I did not get the play station that I wanted.,I can no longer stand christmas_comma_ because once when i was thirteen I
hit:955_conv:1910,I love my wife,MY WIFE IS THE LOVE OF MY LIFE
hit:956_conv:1913,When I was six years old_comma_ my mom let me watch IT.,I watched IT when I was only six years old.
hit:958_conv:1916,I had confidence the Falcons would win_comma_ man was I wrong.,I thought the Falcons would win_comma_ man was I wrong.
hit:959_conv:1919,Everytime my wife buys food_comma_ I eat all of the cookies before she can get any.,When my wife buys food_comma_ I eat all of the cookies before she can
hit:963_conv:1927,to see a kid throwing stones at a lame dog,I have never been to Asia
hit:965_conv:1930,I saw a shark in the water last week.,I saw a shark in the water last week.
hit:966_conv:1932,My brother won the lottery last month.,My brother won the lottery last month.
hit:968_conv:1937,I will always be married to my wife.,I will always be married to my wife.
hit:978_conv:1957,I was at home and at the last minute my father took me to the Yankee game.,I was at home and last minute my dad took me to the Yankees game.
hit:980_conv:1960,I go grocery shopping on Saturday morning_comma_ and my adult son has the weekend off and he proceeds to sit around all weekend eating all the food with zero self control.,My son sits around all weekend and eats everything. 
hit:994_conv:1988,i got a dream house!,I bought a dream house and i'm so happy
hit:999_conv:1998,I recently took the Law School Admissions Test.,I believe I did well on my Law School Admissions Test.
hit:1002_conv:2005,I was confident when I won honor society preisdent in high school_comma_ I beat a really popular girl,I was confident when I won honor society preisdent in high school_comma_
hit:1003_conv:2006,It felt good when Lebron left the Cavs for the Lakers, It felt good when Lebron left the Cavs for the Lakers
hit:1006_conv:2013,I'm going on my first trip to Disney World in a few weeks. I can't wait!,In a few weeks I'm going on my first ever trip to Disney World.
hit:1009_conv:2018,My friend and I got into an awful fight_comma_ she won't forgive me.,My best friend for years and I got into a fight_comma_ I said some
hit:1016_conv:2032,Sometimes I get annoyed by my parents_comma_ there seems to be such a generational gap between us sometimes,Sometimes I get annoyed by my parents_comma_ there seems to be such a generational
hit:1032_conv:2064,I was excited when my parents got me a car as a graduation gift,I was excited when my parents got me a car as a graduation gift
hit:1034_conv:2069,had to leave my long distance girlfriend to go back home_comma_ after I had spent a month of time with her,had to leave my long distance girlfriend to go back home_comma_ after I had
hit:1041_conv:2083,I was disgusted when I saw someone get their head cracked open during a fight,I was disgusted when I saw someone get their head cracked open during a fight
hit:1049_conv:2098,I am happy I survived the weekend.,I am happy I survived the weekend.
hit:1050_conv:2101,I am the best at being a mom. You have no idea.,I am so happy with my kids. They are the best.
hit:1053_conv:2106,I wish I was Dwayne Johnson.,I wish I was Dwayne Johnson.
hit:1063_conv:2126,I get to visit my long distance girlfriend in less than a week!,I get to visit my long distance girlfriend in less than a week!
hit:1063_conv:2127,I felt so much wonder and awe when I went to the beach. I was surrounded by such profound beauty_comma_ and I spent my entire day swimming_comma_ sunbathing_comma_ and laughing with my partner. It made me so happy.,I went to the beach a few weeks ago_comma_ and it was great.
hit:1065_conv:2131,I'm in a current situation with my mother where I am not feeling as caring as I used to be. This is because of how she acted towards me when my father was in hospice and watching him suffer through his last days.,My mom said some pretty offensive things to me while my dad was in hospice. It
hit:1066_conv:2132,Doing pretty good at work today. Feeling like things are going my way.,Doing pretty good at work today. Feeling like things are going my way.
hit:1067_conv:2135,my child lied to me ,when i caught my child telling a lie 
hit:1140_conv:2281,I was feeling rather hungry and then my friend gave me some food!,I was getting home from work one day and was feeling hungry. I wasn't able to
hit:1144_conv:2289,Waiting to hear what the loan officer says on my home loan application,Waiting to hear what the loan officer says on my home loan application.
hit:1156_conv:2312,I yelled at my kid earlier because I had a headache.,I yelled at my kid a few minutes ago.
hit:1166_conv:2333,i feel like my life is coming together finally or else i am learning how to cope with the stress ,that everything is finally coming together 
hit:1168_conv:2336,I left my phone on the bus last night as I was coming home_comma_ I am still very upset_comma_,I left my phone on the bus last night as I was coming home_comma_
hit:1178_conv:2356,My girlfriend said she was going to catch up with her ex boyfriend over coffee. I am sure that nothing shady will go on between them.,My girlfriend said she was going to catch up with her ex boyfriend over coffee. I am
hit:1193_conv:2387,I often think back to my younger days when I enjoyed playing baseball as a kid.  Watching the All-Star game brought back such vivid memories of my youth.,Watching the All-star game a couple weeks ago brought back fond memories of when I
hit:1197_conv:2395,I always donate my change to charities at the store.,I always donate to charity when I can
hit:1205_conv:2410,My coworker is always coming over to my desk and talking for long periods of time.  It causes me to get behind sometimes.,My coworker is always coming over to my desk and talking for long periods of time.
hit:1207_conv:2415,was happy to see my dog return home!,was happy to see my dog return home!
hit:1209_conv:2418,My dog vomited on the carpet yesterday.,My dog yakked all over the carpet last night. I was so grossed out.
hit:1213_conv:2427,I once was caught making out with my girlfriend at a family dinner. I didn't think they would find us out.,I ended up making out with my girlfriend on the couch when everyone was in the dining room
hit:1229_conv:2458,My friend hasnt been feeling well lately.,My friend hasnt been feeling well lately.
hit:1230_conv:2460,A time when I felt excited was when I was waiting for Black Friday to purchase a new surround sound system.,I can't wait for Black Friday.
hit:1231_conv:2462,At work_comma_ I am often the only employee in my building. Sometimes I get really bored and need to walk to one of the other buildings just so I can say hello to someone. ,At work_comma_ I am often the only employee in my building. It's
hit:1232_conv:2464,I felt trusting when i started to date a new girl and she had a shady past. I decided to trust this girl and give her a shot cause people change.,The first time i began to date a new girl_comma_ i trusted that she
hit:1236_conv:2472,I bought a exercise bike and it just sits in the corner. I wish I had the drive to use it,I am so ashamed. I wasted 300 on an exercise bike
hit:1242_conv:2485,I'm really proud of my mom because of how she's stepping up to help my brother raise his children as he struggles to do it alone,I'm really proud of my mom because of how she's stepping up to help my brother
hit:1265_conv:2531,All of the good shows are ending. It really ruins tv for me.,Every good show on tv is ending or has already ended.
hit:1270_conv:2541,I spend way too much money on food. Its getting bad.,I spend way too much money on food. I have to learn how to cook for myself
hit:1274_conv:2549,I have a two week vacation coming out and I'm really excited about it.,I have a two week vacation coming out and I'm so stoked!
hit:1280_conv:2561,I've been pretty agitated about the slow internet speeds. I think it's the weather?,I've been pretty pissed off about the slow internet speeds lately. I think it's the
hit:1284_conv:2568,I just moved to a new city for work. I do not know anyone that lives here.,I just moved to a new city for work. I do not know anyone that lives here
hit:1285_conv:2570,I ordered pants online that I was sure would fit_comma_ and they ended up not fitting.,I ordered pants online and they didn't fit!
hit:1285_conv:2571,I was shocked to see how many hotdogs they were eating at once. This has to be a sin...and a waste of food!,I was shocked to see how many hotdogs they were eating at one. This has to
hit:1293_conv:2586,My best friend died last month.,My best friend died last month.
hit:1298_conv:2597,I finally saw the movie with that scary Japanese girl with white skin. I now believe I can't sleep without the lights on lol.,I finally saw that one scary movie my friends were talking about. I can't sleep without
hit:1301_conv:2602,I started my new job yesterday. Hoping for a promotion soon.,I started a new job yesterday. I hope I perform well at it.
hit:1307_conv:2614,I went to the bowling alley yesterday all alone because my friends ditched me.,I went to the bowling alley yesterday all alone. My friends ditched me.
hit:1307_conv:2615,Hillary Clinton annoys me.,Hillary Clinton annoys me.
hit:1311_conv:2623,I placed a wager/bet on a UFC fight last Saturday. I knew I was going to be right and get paid.,I placed a sports bet last Saturday. I knew I was going to be right and get
hit:1323_conv:2647,I was very proud of my mom for helping someone with therapy,I felt very proud of my mom when she put herself aside to be a caregiver for
hit:1327_conv:2654,I was pleasantly shocked when my boyfriend came home with a puppy and flowers for me one time. It was very touching and a great present.,I was at home waiting patiently because my boyfriend said he had gotten something for_comma
hit:1328_conv:2656,I saw my friend projectile vomit on the rollercoaster. The smell still haunts me...,I saw my friend projectile vomit on the rollercoaster. The smell still haunts me
hit:1338_conv:2676,I can't believe how great The Braves are playing.,I can't believe how great the Braves are playing.
hit:1340_conv:2681,I really hope for peace one day. For our kids.,I want there to be peace in the world.
hit:1351_conv:2703,My mom said I had to get rid of our family dog because she was allergic. I cried for a week it was unbearable_comma_ I resented her.,My mom said I had to get rid of our family dog because she was allergic. I
hit:1359_conv:2719,I just expecting a win from Croatia. But France did it. Though I'm not a fan of either. I just expected Croatia.,The football fever ended finally. But I expect a win from Croatia. I just waiting for
hit:1361_conv:2722,My son woke up soooo early this morning. I barely got any sleep.,My son woke up at the crack of dawn this morning. He had to pull my hair
hit:1365_conv:2730,I get sentimental about my family sometimes_comma_ I just really love them a lot,I get sentimental about my family sometimes_comma_ I just really love them a lot
hit:1384_conv:2768,i pooped my pants on a ride at disneyworld a few months back_comma_ it stunk up the place but no one suspected me,i pooped my pants at disneyworld
hit:1384_conv:2769,I am very excited to play the new pokemon game coming out for the nintendo switch soon,I am very excited to play the new pokemon game coming out for the nintendo switch soon
hit:1385_conv:2771,I was devestated when my grandmother passed away_comma_ i was unsure what to do with myself for a long time after,I was devestated when my grandmother passed away_comma_ i was unsure what
hit:1389_conv:2778,i feel grail d,i felt guilty
hit:1389_conv:2779,i really like my brothers_comma_ they mean a lot to me even if it is frowned upon to express it,i really like my brothers_comma_ they mean a lot to me even if it
hit:1396_conv:2793,I just went on a fantastic interview. My nerves are really bad awaiting their decision on if I got the job or not.,I had a great interview yesterday. Im really nervous and cant stop thinking about it. I
hit:1397_conv:2795,I pray that I will beat my disease.,I pray that I will beat my disease.
hit:1409_conv:2818,I worry about my parents in their old age.,I'm worried about my parents.
hit:1410_conv:2820,My girlfriend is working in another country for 2 years. I'm afraid of the people she'll meet_comma_ but I trust her.,My girlfriend is working in another country for 2 years. I'm afraid of the people she
hit:1418_conv:2836,My friend got into her first choice school with a full ride scholarship!,My friend got into her first choice school with a full ride scholarship!
hit:1426_conv:2852,I have been saving up money so if anything happens I am prepared. It's nice to be able to do that for once.,I have been able to save up money lately and it makes me feel very relieved. I
hit:1434_conv:2868,I can't believe my son is being so stubborn about the potty. My girl was much easier.,My son refuses to use the potty. I can't belive he won't even
hit:1436_conv:2873,I was driving the other day and a little turtle was in the road. I turned around and went back to get him before he got ran over and didn't make it. Ugh. He got hit and smashed that fast before I could get him,I saw a little turtle in the middle of the road and he got ran over by the
hit:1440_conv:2881,I am heading to the goodwill later to donate some of our old belongings. ,I am going to the goodwill later to drop off some donations. It's the least I
hit:1443_conv:2887,I did really well on a test last week. I got most of the answers right_comma_ but the teacher gave me a failing grade. The person sitting next to me cheated off of my answers_comma_ so she failed both of us. It's not fair.,I took a test last week that I had studied very hard for. I know I got
hit:1450_conv:2901,I think my life is right where it should be.,I think my life is going pretty well. I am so used to bad news.
hit:1459_conv:2918,School starts next week and I am so excited. I have all the supplies I need and I even have my outfit for the first day picked out.,School starts next week and I am all ready to go! I have all my supplies for
hit:1467_conv:2935,Seeing kids play in my neighborhood reminds me of playing as a child.,I get taken back to my childhood.
hit:1471_conv:2943,I believed my boyfriend when he said he didn't go have dinner with his female coworker.,This woman approached me on Facebook Messenger about how she is seeing my boyfriend behind my back
hit:1481_conv:2963,I knew my brother wanted to help when I was struggling in life. He just seemed to care,I knew I could count on my brother. He was there for me when I was struggling
hit:1488_conv:2977,I've been boxing for almost 3 years now but always had some type of injury that prevented me from having my first fight...I'm looking after my health a lot better now and putting in some gym hours_comma_ so aiming for next year fingers crossed,Aiming to have my first amateur fight this year and my first pro fight by next year
hit:1490_conv:2980,Yesterday_comma_ I lost my favorite pair of underpants. I was quite grateful when my favorite bartender returned them.,I went to the bar last night and woke up missing my underpants. I was so
hit:1493_conv:2987,I walked in on my parents making a baby.,I walked in on my parents making a baby.
hit:1514_conv:3028,I recently visited a new restaurant in town. I didn't have high expections but it was great!,I didn't have high expectations for this new restaurant in town.
hit:1521_conv:3042,I hate being alone at my house_comma_ it's not fulfilling at all.,I hate being alone at my house_comma_ it's not fulfilling at all.
hit:1522_conv:3044,My cat was run over by my uncle. He din't tell me until a week later.,I had the worst night last night. I found out my uncle hit my cat with his
hit:1534_conv:3068,Saw a friend at the grocery store and introduced her to my daughter by the wrong name.,The other day_comma_ I was putting my groceries in my car and a friend
hit:1538_conv:3076,I had to get something checked out at the doctor recently_comma_ always makes me nervous.,I had to get something checked out at the doctor recently_comma_ always makes me
hit:1541_conv:3082,I really hate when I have to wake up early for an appointment. I fear I will sleep in and miss it!,I hate having to wake up early for appointments.
hit:1544_conv:3089,My best friend's husband cheated on her with his sister in law!,My best friend's husband cheated on her with his sister in law.
hit:1548_conv:3096,I was in a friends house one night. We were watching a movie when he heard a loud bang suddenly. Then we heard clawing noises.,I was watching a movie with my friend the other night and heard a loud bang. It
hit:1549_conv:3098,I purchased a new router and it was DOA,I purchased a new router and it was DOA when it got to me today :(
hit:1581_conv:3163,We are behind on a work project_comma_ but we came in this morning and it seems like one of our coworkers finished it all by himself over night.,We are behind on a work project_comma_ but we came in this morning and
hit:1586_conv:3172,I'm going to an amusement park tomorrow for the first time and I can hardly wait!,I'm going to an amusement park tomorrow for the first time and I can hardly wait!
hit:1586_conv:3173,I am grateful that I have a place where I can rescue animals and not have a landlord,I am happy I have a home without a landlord and can do what I want_com
hit:1598_conv:3197,I sometimes wish that I can afford the luxuries that m friends can.,I can't believe this one is acting weird.
hit:1612_conv:3224,My brand new car was hit in the parking lot.  The driver took off without leaving a note.,My car was damaged in the parking lot and the other driver took off without leaving me a
hit:1621_conv:3242,My ex is such a jerk. He posted my phone number on facebook.,My ex posted my number on facebook. I am so mad.
