conv_id,emotion,dialogue,target_summary,input_text
hit:91_conv:182,excited,Speaker 4:When the Falcons won the game I was excited. | Speaker 27:What game did they win? | Speaker 4:The NFC championship. | Speaker 27:Really? I don't recall that at all. I remember them choking. I could be wrong.,When the Falcons won the game I was excited.,emotion: excited dialogue: Speaker 4:When the Falcons won the game I was excited. | Speaker 27:What game did they win? | Speaker 4:The NFC championship. | Speaker 27:Really? I don't recall that at all. I remember them choking. I could be wrong.
hit:99_conv:198,ashamed,Speaker 4:I cheated on a test. I am very ashamed. | Speaker 50:oh no :( maybe you should confess and i'm sure you will feel better | Speaker 4:I would but I will get in trouble. | Speaker 50:i understand. maybe next time you shouldn't cheay,I am ashamed when I cheated on the test.,emotion: ashamed dialogue: Speaker 4:I cheated on a test. I am very ashamed. | Speaker 50:oh no :( maybe you should confess and i'm sure you will feel better | Speaker 4:I would but I will get in trouble. | Speaker 50:i understand. maybe next time you shouldn't cheay
hit:100_conv:200,sentimental,Speaker 54:I miss my family members as they all pretty much gone now... | Speaker 4:Sorry to hear that. | Speaker 54:Yeah  as you get older you have to face the fact of loved ones not being around forever. | Speaker 4:Yes. I have lost my grandma. | Speaker 54:My condolences to you...I hope you have wonderful memories of her!,I'be been thinking a lot about my childhood lately_comma_ sort or reminiscing.,emotion: sentimental dialogue: Speaker 54:I miss my family members as they all pretty much gone now... | Speaker 4:Sorry to hear that. | Speaker 54:Yeah  as you get older you have to face the fact of loved ones not being around forever. | Speaker 4:Yes. I have lost my grandma. | Speaker 54:My condolences to you...I hope you have wonderful memories of her!
hit:109_conv:219,guilty,Speaker 27:My daughter is being so lazy this summer. | Speaker 1:I think that's the usual for kids. How old is she | Speaker 27:13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now | Speaker 1:That's kind of funny though. How did she react? | Speaker 27:she went to bed lo,I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,emotion: guilty dialogue: Speaker 27:My daughter is being so lazy this summer. | Speaker 1:I think that's the usual for kids. How old is she | Speaker 27:13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now | Speaker 1:That's kind of funny though. How did she react? | Speaker 27:she went to bed lo
hit:110_conv:220,ashamed,Speaker 4:I lied to the police. I am ashamed. | Speaker 46:You should never lie to them. What did you say? | Speaker 4:I said I did not know where my friend was. | Speaker 46:Did your friend do something bad? Why were they looking for them,I am ashamed I lied to the police.,emotion: ashamed dialogue: Speaker 4:I lied to the police. I am ashamed. | Speaker 46:You should never lie to them. What did you say? | Speaker 4:I said I did not know where my friend was. | Speaker 46:Did your friend do something bad? Why were they looking for them
hit:133_conv:266,apprehensive,Speaker 56:Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening. | Speaker 27:What is HELLP? I'm sorry you and your baby had to go through that. | Speaker 56:It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down. | Speaker 27:That's terrible. There are so many things to be afraid of when you're pregnant!,Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,emotion: apprehensive dialogue: Speaker 56:Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening. | Speaker 27:What is HELLP? I'm sorry you and your baby had to go through that. | Speaker 56:It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down. | Speaker 27:That's terrible. There are so many things to be afraid of when you're pregnant!
hit:141_conv:283,impressed,Speaker 40:I had jury duty for three months this spring. Its was surprisingly fun and interesting.  | Speaker 4:I hate jury duty. | Speaker 40:It can be an inconvenience and it only paid 12 dollars a day. So that was bad. | Speaker 4:Yes. They underpay. | Speaker 40:really bad.,I was on jury duty for three months recently and it was very interesting and kind of fun. I was surprised.,emotion: impressed dialogue: Speaker 40:I had jury duty for three months this spring. Its was surprisingly fun and interesting.  | Speaker 4:I hate jury duty. | Speaker 40:It can be an inconvenience and it only paid 12 dollars a day. So that was bad. | Speaker 4:Yes. They underpay. | Speaker 40:really bad.
hit:142_conv:284,surprised,Speaker 4:I can't believe it hasn't rained today. | Speaker 45:Yes  so are you having nice weather or is it too dry and need some rain? | Speaker 4:Yes we need rain. | Speaker 45:I see. Well  maybe the weather is calling for some in the near future? I like sunshine  but know we need some rain too  hope you get some soon.,I am shocked it hasn't rained today.,emotion: surprised dialogue: Speaker 4:I can't believe it hasn't rained today. | Speaker 45:Yes  so are you having nice weather or is it too dry and need some rain? | Speaker 4:Yes we need rain. | Speaker 45:I see. Well  maybe the weather is calling for some in the near future? I like sunshine  but know we need some rain too  hope you get some soon.
hit:156_conv:313,embarrassed,Speaker 35:I slipped while carrying a tray of coffee at work the other day  got it all over me. | Speaker 59:Oh no  sorry to hear that! Were you okay? | Speaker 35:Yeah  I was fine. I bit embarrassed  but fine. Had to go home and change though. It was huge mess. | Speaker 59:I can imagine. Well atleast you can look back and laugh it off as one of 'those' days!,I slipped while carrying a tray of coffee. I got it all over myself.,emotion: embarrassed dialogue: Speaker 35:I slipped while carrying a tray of coffee at work the other day  got it all over me. | Speaker 59:Oh no  sorry to hear that! Were you okay? | Speaker 35:Yeah  I was fine. I bit embarrassed  but fine. Had to go home and change though. It was huge mess. | Speaker 59:I can imagine. Well atleast you can look back and laugh it off as one of 'those' days!
hit:161_conv:322,surprised,Speaker 35:My friend recently invited me to his wedding. I hadn't even known he was engaged  but it was a great wedding. | Speaker 51:That's fun  my friend is getting married next year  how big was the wedding? | Speaker 35:Not too big  maybe 30 guests. He and his now wife have been together for only a year or so  so they set the whole thing up pretty quickly. | Speaker 51:Oh I see  well that's still nice!,A friend of mine recently got married. I hadn't even know he was engaged!,emotion: surprised dialogue: Speaker 35:My friend recently invited me to his wedding. I hadn't even known he was engaged  but it was a great wedding. | Speaker 51:That's fun  my friend is getting married next year  how big was the wedding? | Speaker 35:Not too big  maybe 30 guests. He and his now wife have been together for only a year or so  so they set the whole thing up pretty quickly. | Speaker 51:Oh I see  well that's still nice!
hit:180_conv:360,nostalgic,Speaker 55:I reconnected with one of my childhood friends and I even got to go to the house that we used to hang out in years and years ago. | Speaker 10:That is something I want to do when I get older  I miss the golden days! | Speaker 55:You should  especially if you truly miss any of your childhood friends. It was a surreal but amazing experience. | Speaker 10:I bet it was  to catch up after awhile  few things really compare,Recently I met up with a friend that I knew years and years ago and I learned that he actually bought his house from his mom. We went there and had a few beers and it looked exactly the same as before_comma_ even smelled the same.,emotion: nostalgic dialogue: Speaker 55:I reconnected with one of my childhood friends and I even got to go to the house that we used to hang out in years and years ago. | Speaker 10:That is something I want to do when I get older  I miss the golden days! | Speaker 55:You should  especially if you truly miss any of your childhood friends. It was a surreal but amazing experience. | Speaker 10:I bet it was  to catch up after awhile  few things really compare
hit:181_conv:363,proud,Speaker 68:So i am really happy with myself lately. Finally graduated college after 8 years since 2009. | Speaker 10:Wow  go you! I am proud of you  it can be tough to do! | Speaker 68:Yeah it felt tough every year that passed but i got that degree man. | Speaker 10:That is what matters  best of luck using it friend!,I was in college for 8 years. I didn't get done until the end of 2017. I graduated high school in 2009 felt so proud when i was done with school.,emotion: proud dialogue: Speaker 68:So i am really happy with myself lately. Finally graduated college after 8 years since 2009. | Speaker 10:Wow  go you! I am proud of you  it can be tough to do! | Speaker 68:Yeah it felt tough every year that passed but i got that degree man. | Speaker 10:That is what matters  best of luck using it friend!
hit:188_conv:377,surprised,Speaker 75:I am surprised England Lost to Croatia on the World Cup.I tought they were gonna win easily  | Speaker 10:I am shocked too  Croatia only has 4 millio people | Speaker 75:Did you watched the game? The Croatians were warriors out there. | Speaker 10:Yeaah they really were  number 12 killed it with that goal  | Speaker 75:That goal took them to the world cup final,I am surprised England Lost to Croatia on the World Cup,emotion: surprised dialogue: Speaker 75:I am surprised England Lost to Croatia on the World Cup.I tought they were gonna win easily  | Speaker 10:I am shocked too  Croatia only has 4 millio people | Speaker 75:Did you watched the game? The Croatians were warriors out there. | Speaker 10:Yeaah they really were  number 12 killed it with that goal  | Speaker 75:That goal took them to the world cup final
hit:189_conv:378,grateful,Speaker 10:My parents let me live in their house for free  I am realy thankful | Speaker 68:I feel that man  Parents like that care for their family a lot. | Speaker 10:Yeaaah  I know a lot of people who struggle with bills.  | Speaker 68:I am in that boat at times where i live.,my parents let me live with them. They do not charge rent so I am very appreciative of them,emotion: grateful dialogue: Speaker 10:My parents let me live in their house for free  I am realy thankful | Speaker 68:I feel that man  Parents like that care for their family a lot. | Speaker 10:Yeaaah  I know a lot of people who struggle with bills.  | Speaker 68:I am in that boat at times where i live.
hit:189_conv:379,confident,Speaker 68:I remember a time i got my first retail job. Was scared about the interview but after just taking a deep breath. I just felt like i owned the place. | Speaker 10:I know that feeling  good for you! | Speaker 68:You ever just get those moment where you shake it off and the confident feeling flows in. | Speaker 10:Yes  those are awesome feelings  I crave that all the time,When i got my first job in retail i was scared on the interview. But as i got there i took a deep breath and went in. I felt really confident after that and got the job.,emotion: confident dialogue: Speaker 68:I remember a time i got my first retail job. Was scared about the interview but after just taking a deep breath. I just felt like i owned the place. | Speaker 10:I know that feeling  good for you! | Speaker 68:You ever just get those moment where you shake it off and the confident feeling flows in. | Speaker 10:Yes  those are awesome feelings  I crave that all the time
hit:215_conv:431,excited,Speaker 75:I am so exited about the coming world cup final.It is going to be a very exiting game | Speaker 79:I'm not actually much of a soccer fan but the hype is hard to escape!  | Speaker 75:The world is the biggest sports competition worldwide  right after the Olympics. | Speaker 79:Yes  I'm aware  but i'm a much bigger hockey fan.  | Speaker 75:I do not like to watch hockey.You can't see the puck.,I am so exited about the coming world cup final.,emotion: excited dialogue: Speaker 75:I am so exited about the coming world cup final.It is going to be a very exiting game | Speaker 79:I'm not actually much of a soccer fan but the hype is hard to escape!  | Speaker 75:The world is the biggest sports competition worldwide  right after the Olympics. | Speaker 79:Yes  I'm aware  but i'm a much bigger hockey fan.  | Speaker 75:I do not like to watch hockey.You can't see the puck.
hit:224_conv:448,terrified,Speaker 68:I went into the old abandoned house went and spent the night. | Speaker 94:That's sad. Sorry you had to go through that. | Speaker 68:Well i started hearing footsteps and voice it was so scary. | Speaker 94:I would have peed in my pants if i was there.,It was a time of my life where i liked spooky things. I went into a abandoned house and i decided to spend the night. Well i started hearing noises and voices and i just was so scared i ran out the house.,emotion: terrified dialogue: Speaker 68:I went into the old abandoned house went and spent the night. | Speaker 94:That's sad. Sorry you had to go through that. | Speaker 68:Well i started hearing footsteps and voice it was so scary. | Speaker 94:I would have peed in my pants if i was there.
hit:232_conv:464,disgusted,Speaker 7:By mistake  I saw an image of a car accident. I was disgusted. | Speaker 99:Oh wow that sounds awful! was it graphic? | Speaker 7:Yes  the image keep coming back. Terrible. | Speaker 99:I'm so sorry you had to go through that.,By mistake_comma_ I saw an image of a car accident. I was disgusted.,emotion: disgusted dialogue: Speaker 7:By mistake  I saw an image of a car accident. I was disgusted. | Speaker 99:Oh wow that sounds awful! was it graphic? | Speaker 7:Yes  the image keep coming back. Terrible. | Speaker 99:I'm so sorry you had to go through that.
hit:242_conv:484,sad,Speaker 85:I made plans to spend time with my friend Megan today  and unfortunately  I had to reschedule yet again. | Speaker 64:That's unfortunate. Do you like her? | Speaker 85:Of course  she's my best friend.  I just feel bad that I had to bail on her for the third time in a row. | Speaker 64:I am sorry. Did you set up another day to hang out? | Speaker 85:I'm taking her out to breakfast when she gets off work Sunday morning.  Time to see what this IHOB is all about!,I was looking forward to spending time with my friend Megan today_comma_ but I had to put it off again because I fell ill this morning.,emotion: sad dialogue: Speaker 85:I made plans to spend time with my friend Megan today  and unfortunately  I had to reschedule yet again. | Speaker 64:That's unfortunate. Do you like her? | Speaker 85:Of course  she's my best friend.  I just feel bad that I had to bail on her for the third time in a row. | Speaker 64:I am sorry. Did you set up another day to hang out? | Speaker 85:I'm taking her out to breakfast when she gets off work Sunday morning.  Time to see what this IHOB is all about!
hit:245_conv:490,devastated,Speaker 100:So last year I let my friend borrow my car  and that night he ended up crashing and totaling it. I was crushed. | Speaker 66:No! THAT is painful! He must have felt awful! Did he have insurance to cover anything? | Speaker 100:Well I had insurance  but he was driving so it wasn't covered. He's been paying me back bit by bit. | Speaker 66:I am so sorry! But he does sound like a true friend if he's actively paying you back!,I let my friend borrow my car last year and I got a call later that night that he crashed it and totaled it_comma_ man I was crushed by that experience.,emotion: devastated dialogue: Speaker 100:So last year I let my friend borrow my car  and that night he ended up crashing and totaling it. I was crushed. | Speaker 66:No! THAT is painful! He must have felt awful! Did he have insurance to cover anything? | Speaker 100:Well I had insurance  but he was driving so it wasn't covered. He's been paying me back bit by bit. | Speaker 66:I am so sorry! But he does sound like a true friend if he's actively paying you back!
hit:246_conv:493,joyful,Speaker 106:When my daughter was  born I was so happy and excited.  | Speaker 68:I bet! always good when new life is born. | Speaker 106:Yes  she is the first granddaughter in our family. Every one was excited to finally have a girl after all boys.  | Speaker 68:Oh that must be a handful for your parents.,When my daughter was born I was so happy and excited.,emotion: joyful dialogue: Speaker 106:When my daughter was  born I was so happy and excited.  | Speaker 68:I bet! always good when new life is born. | Speaker 106:Yes  she is the first granddaughter in our family. Every one was excited to finally have a girl after all boys.  | Speaker 68:Oh that must be a handful for your parents.
hit:260_conv:520,excited,Speaker 109:I was so thrilled with my gift for my 9th birthday!  | Speaker 85:You still remember what you got for it?  It must have been memorable!  What was it? | Speaker 109:It  sure was. It was a Super Nintendo which was epic because we were very poor back then.  | Speaker 85:Oh I know that feeling!  My family was the same way  and I still remember coming home after my last day of 6th grade and seeing that same SNES box sitting on my bed.,I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!,emotion: excited dialogue: Speaker 109:I was so thrilled with my gift for my 9th birthday!  | Speaker 85:You still remember what you got for it?  It must have been memorable!  What was it? | Speaker 109:It  sure was. It was a Super Nintendo which was epic because we were very poor back then.  | Speaker 85:Oh I know that feeling!  My family was the same way  and I still remember coming home after my last day of 6th grade and seeing that same SNES box sitting on my bed.
hit:264_conv:529,anxious,Speaker 7:I am stressed by my blood test results that I will have tomorrow. | Speaker 115:Wow. What do you think will happen? | Speaker 7:I am afraid that I could have some sugar issues. | Speaker 115:Well make sure you listen to your Dr.'s advice!,I am stressed by my blood test results that I will receive tomorrow.,emotion: anxious dialogue: Speaker 7:I am stressed by my blood test results that I will have tomorrow. | Speaker 115:Wow. What do you think will happen? | Speaker 7:I am afraid that I could have some sugar issues. | Speaker 115:Well make sure you listen to your Dr.'s advice!
hit:267_conv:534,caring,Speaker 42:I had to help my friend move out of their house | Speaker 79:how did that go?  | Speaker 42:It went ok  i was tired after | Speaker 79:Was it a long move?  | Speaker 42:Not really no,I was caring when I helped someone move out of their house,emotion: caring dialogue: Speaker 42:I had to help my friend move out of their house | Speaker 79:how did that go?  | Speaker 42:It went ok  i was tired after | Speaker 79:Was it a long move?  | Speaker 42:Not really no
hit:281_conv:562,furious,Speaker 56:While I was on maternity leave  I worked from home a little bit.  I don't think my boss liked it very much though. | Speaker 45:Oh  well that isn't fair of your boss! Most people wouldn't work at all while are maternity leave  he should be grateful! | Speaker 56:You would think  but he would literally yell at me over the phone about things that happened when I wasn't even there. | Speaker 45:Well  sounds like your boss is stressed out too much and taking it out on you! Maybe he needs a long break!,I was on maternity leave but still working from home some.  My boss would call and scream at me about things that happened while I wasn't even there.,emotion: furious dialogue: Speaker 56:While I was on maternity leave  I worked from home a little bit.  I don't think my boss liked it very much though. | Speaker 45:Oh  well that isn't fair of your boss! Most people wouldn't work at all while are maternity leave  he should be grateful! | Speaker 56:You would think  but he would literally yell at me over the phone about things that happened when I wasn't even there. | Speaker 45:Well  sounds like your boss is stressed out too much and taking it out on you! Maybe he needs a long break!
hit:302_conv:605,angry,Speaker 104:I am so mad at my son.  | Speaker 4:What did he do? | Speaker 104:I asked him three times today to do his chores and they still aren't done.  I don't know what I have to do to make him listen. | Speaker 4:Did you try to bribe him?,I am so mad at my son.  I asked him three times to do his chores and he still hasn't done them.,emotion: angry dialogue: Speaker 104:I am so mad at my son.  | Speaker 4:What did he do? | Speaker 104:I asked him three times today to do his chores and they still aren't done.  I don't know what I have to do to make him listen. | Speaker 4:Did you try to bribe him?
hit:304_conv:609,caring,Speaker 68:People caring is good but i will say i have never cared as much for a creature than my first dog. | Speaker 61:I can totally relate. Dogs are better than most people. What kid of dog was it? | Speaker 68:He was a Dachshund lived til he was 18. I miss him still.  | Speaker 61:I'm sorry. Dogs take a piece of our hearts when they go. 18 years is a very long life for a dog  I bet you had a lot of great times together!,I loved my dogs so much. But one dog i loved was Watson and he lived til he was 18. He was the one thing i cared about in this world at a time.,emotion: caring dialogue: Speaker 68:People caring is good but i will say i have never cared as much for a creature than my first dog. | Speaker 61:I can totally relate. Dogs are better than most people. What kid of dog was it? | Speaker 68:He was a Dachshund lived til he was 18. I miss him still.  | Speaker 61:I'm sorry. Dogs take a piece of our hearts when they go. 18 years is a very long life for a dog  I bet you had a lot of great times together!
hit:315_conv:630,disgusted,Speaker 104:I was so grossed out! One of my favorite restaurants that I go to every week was just shut down by the health department! | Speaker 4:What score did they get? | Speaker 104:I'm not sure but the report said there were over 20 bugs found. Can you imagine how gross the kitchen must be? | Speaker 4:Yes. I wouldn't go back.,One of my favorite restaurants that I frequent weekly was just shut down by the health department.  I can't imagine how gross the kitchen must be!,emotion: disgusted dialogue: Speaker 104:I was so grossed out! One of my favorite restaurants that I go to every week was just shut down by the health department! | Speaker 4:What score did they get? | Speaker 104:I'm not sure but the report said there were over 20 bugs found. Can you imagine how gross the kitchen must be? | Speaker 4:Yes. I wouldn't go back.
hit:315_conv:631,proud,Speaker 4:I am happy my brother plays in the MLB. | Speaker 104:He does?! So exciting! What team does he play for? | Speaker 4:He plays for the New York Yankees. | Speaker 104:They are doing really well this season! You must be so proud!,I am happy my brother went to the MLB.,emotion: proud dialogue: Speaker 4:I am happy my brother plays in the MLB. | Speaker 104:He does?! So exciting! What team does he play for? | Speaker 4:He plays for the New York Yankees. | Speaker 104:They are doing really well this season! You must be so proud!
hit:320_conv:640,excited,Speaker 68:You know when you get some new gadget and it just blows your mind? | Speaker 75:yes  I love new gadgets.Specially from the Apple store. | Speaker 68:When i was a kid i had a dinky computer could barely run my games. When i got a new one i was run down the halls screaming 60 FPS! | Speaker 75:I remember also playing games with old and slow computers when i was a teenager.,When i was younger i wanted a new computer so bad. I didn't have good parts and the computer was so slow. When i got the new computer i was ecstatic. ,emotion: excited dialogue: Speaker 68:You know when you get some new gadget and it just blows your mind? | Speaker 75:yes  I love new gadgets.Specially from the Apple store. | Speaker 68:When i was a kid i had a dinky computer could barely run my games. When i got a new one i was run down the halls screaming 60 FPS! | Speaker 75:I remember also playing games with old and slow computers when i was a teenager.
hit:327_conv:654,terrified,Speaker 56:A few years back  my husband was diagnosed with viral meningitis and then while in the hospital he got Bells Palsy. | Speaker 60:Yikes  door guy can't catch a break. Is he ok? | Speaker 56:Yes  he's ok now.  It was a very anxious time though because for awhile we did not know if it was bacterial or viral.  He still has some residual issues from the Bells Palsy  but it's really only noticeable when he gets tired. | Speaker 60:Wow  thank god he's on the up and up. I can't imagine how rough that must have been.,My husband had meningitis and then got bells palsey.  I was very very worried.,emotion: terrified dialogue: Speaker 56:A few years back  my husband was diagnosed with viral meningitis and then while in the hospital he got Bells Palsy. | Speaker 60:Yikes  door guy can't catch a break. Is he ok? | Speaker 56:Yes  he's ok now.  It was a very anxious time though because for awhile we did not know if it was bacterial or viral.  He still has some residual issues from the Bells Palsy  but it's really only noticeable when he gets tired. | Speaker 60:Wow  thank god he's on the up and up. I can't imagine how rough that must have been.
hit:328_conv:657,annoyed,Speaker 119:Have you ever heard someone try to inhale a sandwich? Like literally breath in every crumb like it's the last sandwich they'll ever eat...it's horrible | Speaker 4:I have not and don't want to. | Speaker 119:Well you're one of the lucky ones | Speaker 4:I do like a good sandwich thou. But I eat slow.,I hate it when people make loud breathing noises while eating a sandwich.,emotion: annoyed dialogue: Speaker 119:Have you ever heard someone try to inhale a sandwich? Like literally breath in every crumb like it's the last sandwich they'll ever eat...it's horrible | Speaker 4:I have not and don't want to. | Speaker 119:Well you're one of the lucky ones | Speaker 4:I do like a good sandwich thou. But I eat slow.
hit:332_conv:664,angry,Speaker 4:I am upset England lost in the World Cup. | Speaker 119:Was it pretty close? | Speaker 4:They lost in overtime  so yes. | Speaker 119:Bummer.  Haven't seen it.  Don't watch soccer but I respect the sport,I am upset that England lost in the World Cup.,emotion: angry dialogue: Speaker 4:I am upset England lost in the World Cup. | Speaker 119:Was it pretty close? | Speaker 4:They lost in overtime  so yes. | Speaker 119:Bummer.  Haven't seen it.  Don't watch soccer but I respect the sport
